"ID","indicator_id","indicator_name_aff","indicator_name","indicator_function","indicator_parameters","indicator_strategies","indicator_default_para"
"[301386,502700359]",87,"MidPoint over period","MIDPOINT",70,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700360]",88,"Midpoint Price over period","MIDPRICE",71,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700361]",89,"Parabolic SAR","SAR",72,"{""parameters_id"":[26,27,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""maximum"":[{""MAX"":0.22,""MIN"":0.02,""DEFAULT"":0.2}],""acceleration"":[{""MAX"":0.22,""MIN"":0.001,""DEFAULT"":0.02}]}"
"[301386,502700362]",90,"Parabolic SAR - Extended","SAREXT",73,"{""parameters_id"":[28,29,30,31,32,33,34,35,39]}","null","{""accelerationinitshort"":[{""MAX"":0.22,""MIN"":0.001,""DEFAULT"":0.02}],""accelerationmaxlong"":[{""MAX"":0.22,""MIN"":0.001,""DEFAULT"":0.02}],""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""accelerationmaxshort"":[{""MAX"":0.22,""MIN"":0.001,""DEFAULT"":0.02}],""startvalue"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""accelerationshort"":[{""MAX"":0.22,""MIN"":0.001,""DEFAULT"":0.02}],""offsetonreverse"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""accelerationlong"":[{""MAX"":0.22,""MIN"":0.001,""DEFAULT"":0.02}],""accelerationinitlong"":[{""MAX"":0.22,""MIN"":0.001,""DEFAULT"":0.02}]}"
"[301386,502700363]",91,"Simple Moving Average","SMA",74,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700364]",92,"Triple Exponential Moving Average (T3)","T3",75,"{""parameters_id"":[2,36,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""vfactor"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
"[301386,502700365]",93,"Triple Exponential Moving Average","TEMA",76,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700366]",94,"Triangular Moving Average","TRIMA",77,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700367]",95,"Weighted Moving Average","WMA",78,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700368]",96,"Two Crows","CDL2CROWS",79,"{""parameters_id"":[]}","null","null"
"[301386,502700369]",97,"Three Black Crows","CDL3BLACKCROWS",80,"{""parameters_id"":[]}","null","null"
"[301386,502700370]",98,"Three Inside Up/Down","CDL3INSIDE",81,"{""parameters_id"":[]}","null","null"
"[301386,502700371]",99,"Three-Line Strike","CDL3LINESTRIKE",82,"{""parameters_id"":[]}","null","null"
"[301386,502700372]",100,"Three Outside Up/Down","CDL3OUTSIDE",83,"{""parameters_id"":[]}","null","null"
"[301386,502700373]",101,"Three Stars In The South","CDL3STARSINSOUTH",84,"{""parameters_id"":[]}","null","null"
"[301386,502700374]",102,"Three Advancing White Soldiers","CDL3WHITESOLDIERS",85,"{""parameters_id"":[]}","null","null"
"[301386,502700375]",103,"Abandoned Baby","CDLABANDONEDBABY",86,"{""parameters_id"":[37]}","null","{""penetration"":[{""MAX"":0,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700376]",104,"Advance Block","CDLADVANCEBLOCK",87,"{""parameters_id"":[]}","null","null"
"[301386,502700377]",105,"Belt-hold","CDLBELTHOLD",88,"{""parameters_id"":[]}","null","null"
"[301386,502700378]",106,"Breakaway","CDLBREAKAWAY",89,"{""parameters_id"":[]}","null","null"
"[301386,502700379]",107,"Closing Marubozu","CDLCLOSINGMARUBOZU",90,"{""parameters_id"":[]}","null","null"
"[301386,502700380]",108,"Concealing Baby Swallow","CDLCONCEALBABYSWALL",91,"{""parameters_id"":[]}","null","null"
"[301386,502700381]",109,"Counterattack","CDLCOUNTERATTACK",92,"{""parameters_id"":[]}","null","null"
"[301386,502700382]",110,"Dark Cloud Cover","CDLDARKCLOUDCOVER",93,"{""parameters_id"":[37]}","null","{""penetration"":[{""MAX"":0,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700383]",111,"Doji","CDLDOJI",94,"{""parameters_id"":[]}","null","null"
"[301386,502700384]",112,"Doji Star","CDLDOJISTAR",95,"{""parameters_id"":[]}","null","null"
"[301386,502700385]",113,"Dragonfly Doji","CDLDRAGONFLYDOJI",96,"{""parameters_id"":[]}","null","null"
"[301386,502700386]",114,"Engulfing Pattern","CDLENGULFING",97,"{""parameters_id"":[]}","null","null"
"[301386,502700387]",115,"Evening Doji Star","CDLEVENINGDOJISTAR",98,"{""parameters_id"":[37]}","null","{""penetration"":[{""MAX"":0,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700388]",116,"Evening Star","CDLEVENINGSTAR",99,"{""parameters_id"":[37]}","null","{""penetration"":[{""MAX"":0,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700389]",117,"Up/Down-gap side-by-side white lines","CDLGAPSIDESIDEWHITE",100,"{""parameters_id"":[]}","null","null"
"[301386,502700390]",118,"Gravestone Doji","CDLGRAVESTONEDOJI",101,"{""parameters_id"":[]}","null","null"
"[301386,502700391]",119,"Hammer","CDLHAMMER",102,"{""parameters_id"":[]}","null","null"
"[301386,502700392]",120,"Hanging Man","CDLHANGINGMAN",103,"{""parameters_id"":[]}","null","null"
"[301386,502700393]",121,"Harami Pattern","CDLHARAMI",104,"{""parameters_id"":[]}","null","null"
"[301386,502700394]",122,"Harami Cross Pattern","CDLHARAMICROSS",105,"{""parameters_id"":[]}","null","null"
"[301386,502700395]",123,"High-Wave Candle","CDLHIGHWAVE",106,"{""parameters_id"":[]}","null","null"
"[301386,502700396]",124,"Hikkake Pattern","CDLHIKKAKE",107,"{""parameters_id"":[]}","null","null"
"[301386,502700397]",125,"Modified Hikkake Pattern","CDLHIKKAKEMOD",108,"{""parameters_id"":[]}","null","null"
"[301386,502700398]",126,"Homing Pigeon","CDLHOMINGPIGEON",109,"{""parameters_id"":[]}","null","null"
"[301386,502700399]",127,"Identical Three Crows","CDLIDENTICAL3CROWS",110,"{""parameters_id"":[]}","null","null"
"[301386,502700400]",128,"In-Neck Pattern","CDLINNECK",111,"{""parameters_id"":[]}","null","null"
"[301386,502700401]",129,"Inverted Hammer","CDLINVERTEDHAMMER",112,"{""parameters_id"":[]}","null","null"
"[301386,502700402]",130,"Kicking","CDLKICKING",113,"{""parameters_id"":[]}","null","null"
"[301386,502700403]",131,"Kicking - bull/bear determined by the longer marubozu","CDLKICKINGBYLENGTH",114,"{""parameters_id"":[]}","null","null"
"[301386,502700404]",132,"Ladder Bottom","CDLLADDERBOTTOM",115,"{""parameters_id"":[]}","null","null"
"[301386,502700405]",133,"Long Legged Doji","CDLLONGLEGGEDDOJI",116,"{""parameters_id"":[]}","null","null"
"[301386,502700406]",134,"Long Line Candle","CDLLONGLINE",117,"{""parameters_id"":[]}","null","null"
"[301386,502700407]",135,"Marubozu","CDLMARUBOZU",118,"{""parameters_id"":[]}","null","null"
"[301386,502700408]",136,"Matching Low","CDLMATCHINGLOW",119,"{""parameters_id"":[]}","null","null"
"[301386,502700409]",137,"Mat Hold","CDLMATHOLD",120,"{""parameters_id"":[37]}","null","{""penetration"":[{""MAX"":0,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700410]",138,"Morning Doji Star","CDLMORNINGDOJISTAR",121,"{""parameters_id"":[37]}","null","{""penetration"":[{""MAX"":0,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700411]",139,"Morning Star","CDLMORNINGSTAR",122,"{""parameters_id"":[37]}","null","{""penetration"":[{""MAX"":0,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700412]",140,"On-Neck Pattern","CDLONNECK",123,"{""parameters_id"":[]}","null","null"
